Policy Goal Type,Policy,"Democratic Archtype 1, Democratic Archtype 2, Democratic Archtype 3, Republican Archtype 1, Republican Archtype 2, Republican Archtype 3, Liberal Archtype 1, Liberal Archtype 2, Liberal Archtype 3, Government Hater Archtype 1, Government Hater Archtype 2, Government Hater Archtype 3",Vote %
popular,"objective: enhance children's understanding of online safety by 50% within three years, strategy: implement a nationwide educational program in schools that focuses on digital literacy and safe social media practices for children.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: increase the proportion of children who know how to report inappropriate content on social media by 50% in one year, strategy: develop interactive online training modules that teach children the reporting processes on various social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: encourage the development of user-friendly reporting tools on social media platforms, aiming for a 30% increase in reported incidents of inappropriate content by children within 18 months, strategy: advocate for tech companies to create simple and accessible reporting mechanisms that empower children to report issues easily.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.9166666666666666
popular,"objective: increase the percentage of children participating in social media safety workshops by 50% within one year, strategy: collaborate with community organizations to offer free, localized workshops on social media safety and digital literacy for children and their families.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: ensure that 75% of social media platforms adopt child safety policies within two years, strategy: advocate for industry-wide standards that require platforms to implement comprehensive child protection measures and regularly assess their effectiveness.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: increase the awareness of privacy settings among children by 70% within one year, strategy: launch an interactive online campaign that gamifies the learning process of privacy settings on popular social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: enhance the emotional resilience of children engaging with social media by 40% within three years, strategy: partner with educational psychologists to create workshops that equip children with skills to handle online interactions and emotional challenges.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: reduce instances of cyberbullying among children by 30% over the next two years, strategy: launch a public awareness campaign that promotes empathy, respect, and digital citizenship among young social media users.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: reduce the incidence of online grooming of children by 50% within two years, strategy: collaborate with child protection organizations to create and disseminate educational materials for children and parents about recognizing and reporting grooming behaviors.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
popular,"objective: increase parental engagement in children's social media usage by 40% in one year, strategy: develop resources that empower parents with knowledge and tools to facilitate open conversations about social media and its risks.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
